a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
0.301369863,-1,0.043337711,-1,0.8,-1,-1,-1,-1,-1,0.021740217,0,0.397959184,-1,1,0
0.452054795,-2,0.04727738,-1,0.8,-2,-2,-2,-1,-1,0,0,0.12244898,-1,1,0
0.287671233,-3,0.137243905,-2,0.533333333,-3,-3,-1,-1,-1,0,0,0.397959184,-1,1,0
0.493150685,-3,0.150211838,-3,0.4,-2,-3,-2,-2,-1,0,0,0.397959184,-1,0,0
0.150684932,-3,0.220703008,-1,0.8,-2,-4,-3,-2,-2,0,0,0.397959184,-2,0,0
0.273972603,-3,0.184109302,-4,0.866666667,-2,-2,-3,-1,-2,0,0,0.397959184,-1,1,0
0.438356164,-3,0.099540701,-5,0.266666667,-4,-5,-1,-2,-2,0,0,0.153061224,-3,0,0
0.479452055,-2,0.13316215,-2,0.533333333,-2,-2,-2,-1,-1,0,0,0.448979592,-1,1,1
0.191780822,-3,0.021763013,-4,0.866666667,-1,-4,-1,-1,-2,0.140841408,0,0.5,-1,1,1
0.342465753,-3,0.099038979,-1,0.8,-2,-2,-2,-1,-1,0.051780518,0,0.397959184,-1,1,1
0.273972603,-3,0.181309724,-6,0.6,-2,-2,-2,-2,-1,0,0,0.806122449,-1,0,1
0.178082192,-1,0.086698538,-1,0.8,-2,-4,-2,-3,-1,0,0,0.397959184,-4,0,1
0.082191781,-3,0.073764596,-1,0.8,-1,-1,-4,-1,-2,0,0,0.295918367,-1,1,0
0.205479452,-3,0.130019253,-7,0.733333333,-1,-6,-1,-2,-1,0,0,0.5,-1,0,0
0.232876712,-3,0.157530987,-8,0.2,-2,-7,-2,-4,-1,0,0,0.448979592,-5,0,0
0.109589041,-2,0.110804957,-2,0.533333333,-1,-8,-4,-1,-1,0,0,0.346938776,-1,1,0
0.205479452,-3,0.117649578,-2,0.533333333,-1,-9,-5,-1,-1,0,0,0.397959184,-1,1,0
0.287671233,-3,0.01027781,-3,0.4,-2,-6,-2,-1,-1,0,0,0.5,-1,1,0
0.356164384,-2,0.189271321,-4,0.866666667,-3,-2,-5,-1,-2,0,0,0.448979592,-1,1,1
0.315068493,-3,0.122204501,-9,1,-2,-4,-2,-1,-1,0,0,0.602040816,-1,1,1
0.506849315,-3,0.196049998,-2,0.533333333,-5,-5,-5,-2,-2,0,0,0.193877551,-1,0,0
0.246575342,-4,0.042881539,-5,0.266666667,-2,-8,-2,-2,-1,0,0,0.397959184,-1,0,0
0.356164384,-3,0.070205638,-3,0.4,-2,-7,-2,-1,-1,0,0.468778696,0.397959184,-1,1,0
0.575342466,-3,0.064751967,-2,0.533333333,-3,-10,-5,-1,-2,0,0,0.397959184,-1,1,0
0.534246575,-5,0.138063111,-1,0.8,-2,-10,-2,-1,-1,0,0,0.397959184,-1,1,1
0.02739726,-3,0.105052157,-2,0.533333333,-1,-11,-4,-1,-1,0,0,0.397959184,-1,1,0
0.301369863,-3,0.24031705,-2,0.533333333,-3,-2,-1,-1,-1,0,0,0.806122449,-1,1,0
0.438356164,-3,0.122097086,-2,0.533333333,-2,-11,-2,-1,-1,0,0,0.397959184,-1,1,0
0.082191781,-5,0.120290754,-7,0.733333333,-1,-12,-1,-1,-1,0,0,0.520408163,-1,1,0
0.04109589,-3,0.171486727,-6,0.6,-1,-6,-4,-2,-1,0,0,0.43877551,-1,0,0
0.383561644,-3,0.253696286,-1,0.8,-3,-2,-4,-1,-1,0,0.323232323,0.397959184,-1,1,0
0.178082192,-4,0.031396335,-6,0.6,-2,-1,-4,-1,-1,0,0,0.397959184,-1,1,0
0.068493151,-1,0.202417372,-6,0.6,-2,-5,-2,-2,-1,0,0,0.142857143,-1,0,0
0.424657534,-3,0.155436402,-3,0.4,-1,-9,-5,-1,-1,0,0,0.397959184,-6,1,0
0.054794521,-3,0.12470359,-6,0.6,-1,-9,-4,-1,-1,0,0,0.397959184,-1,1,0
0.02739726,-3,0.360533701,-2,0.533333333,-6,-1,-3,-1,-2,0,0,0.244897959,-1,1,0
0.424657534,-2,0.171120973,-7,0.733333333,-2,-4,-2,-1,-1,0,0,0.397959184,-1,1,0
0.191780822,-3,0.335912643,-5,0.266666667,-2,-9,-2,-1,-1,0,0,0.428571429,-1,1,0
0.493150685,-2,0.050809145,-1,0.8,-2,-4,-2,-1,-1,0,0,0.397959184,-1,1,0
0.095890411,-3,0.108242643,-1,0.8,-2,-10,-2,-1,-1,0,0,0.5,-1,1,0
0.438356164,-3,0.054977919,-2,0.533333333,-5,-1,-5,-1,-2,0,0,0.397959184,-1,1,0
0.109589041,-3,0.187779074,-2,0.533333333,-1,-3,-1,-1,-1,0,0,0.346938776,-1,1,0
0.547945205,-4,0.220353571,-1,0.8,-2,-4,-2,-2,-1,0,0,0.397959184,-1,0,1
0.493150685,-3,0.088781565,-2,0.533333333,-2,-9,-2,-1,-1,0,0,0.37755102,-1,1,0
0.369863014,-3,0.077899378,-4,0.866666667,-3,-2,-5,-1,-2,0,0,0.397959184,-1,1,0
0.328767123,-1,0.059712999,-10,0.666666667,-2,-11,-2,-1,-1,0,0,0.397959184,-1,1,0
0.164383562,-3,0.17519253,-10,0.666666667,-1,-4,-1,-1,-1,0,0,0.428571429,-1,1,0
0.109589041,-3,0.012581105,-6,0.6,-2,-2,-3,-5,-2,0,0,0.397959184,-1,0,0
0.410958904,-3,0.02587876,-11,0.933333333,-2,-4,-3,-1,-2,0,0.436639118,0.602040816,-7,1,1
0.452054795,-4,0.161676647,-1,0.8,-3,-2,-1,-1,-1,0,0,0.551020408,-1,1,1
