a,a,a,a,a,a,a,a,a,a,a,a,a,a
-1,0.653846154,-1,-1,0,0,0,0,-1,-1,0,-1,0,0
-1,0.205128205,-2,-2,0,0,0,0,-1,-2,0.222222222,-1,0,1
-1,0.076923077,-3,-2,0,0,0.058823529,0.105263158,-1,-3,0.333333333,-1,0,1
-1,0.064102564,-3,-2,0,0.076923077,0,0.026315789,-1,-4,0.777777778,-2,0,0
-1,0.320512821,-2,-1,0,0,0,0.052631579,-1,-5,0,-1,0,0
-1,0.333333333,-2,-1,0,0,0,0,-2,-6,0,-1,0,0
-1,0.294871795,-2,-3,0,0,0,0.368421053,-1,-7,0.555555556,-3,1,1
-1,0.320512821,-2,-1,0,0,0,0.078947368,-1,-5,0.333333333,-1,0,0
-2,0.269230769,-2,-3,0,0,0,0,-2,-6,0,-1,1,0
-1,0.038461538,-3,-3,0,0,0,0.026315789,-1,-8,0.222222222,-1,1,1
-1,0.115384615,-2,-3,0,0,0,0,-1,-9,0.333333333,-1,1,0
-1,0.064102564,-3,-2,0,0,0,0.078947368,-2,-6,0.555555556,-3,0,1
-2,0.243589744,-2,-3,0,0,0,0,-2,-6,0,-1,1,0
-1,0.294871795,-2,-2,0,0,0,0,-1,-10,0.333333333,-1,0,0
-2,0.371794872,-1,-3,0,0,0,0.026315789,-1,-5,0,-1,1,1
-1,0.166666667,-2,-2,0,0,0,0.184210526,-1,-11,0.222222222,-1,0,1
-1,0.243589744,-2,-4,0,0,0,0,-2,-6,0,-1,0,0
-1,0.08974359,-2,-2,0,0,0,0.078947368,-1,-12,1,-2,0,0
-1,0.166666667,-2,-3,0,0,0,0.157894737,-1,-13,0.444444444,-3,1,1
-1,0.166666667,-2,-3,0,0,0,0.131578947,-1,-14,0.222222222,-1,1,1
-1,0.58974359,-1,-2,0,0,0,0.342105263,-1,-5,0.555555556,-3,0,1
-1,0.038461538,-3,-2,0,0,0,0.026315789,-1,-15,0.888888889,-2,0,1
-1,0.115384615,-2,-3,0,0,0,0,-2,-16,0.111111111,-1,1,1
-2,0.038461538,-3,-3,0,0,0,0,-1,-17,0.333333333,-1,1,0
-1,0.076923077,-3,-4,0,0,0,0.026315789,-1,-18,0.333333333,-1,0,1
-1,0.320512821,-2,-3,0,0,0,0.026315789,-2,-19,0,-1,1,0
-1,0.179487179,-2,-1,0,0,0,0,-2,-6,0.222222222,-1,0,0
-1,0.115384615,-2,-2,0,0,0,0.210526316,-1,-20,0.222222222,-1,0,1
-2,0.230769231,-2,-3,0,0,0,0.078947368,-1,-5,0.222222222,-1,1,0
-1,0.102564103,-2,-2,0,0,0.058823529,0.131578947,-1,-21,0.666666667,-3,0,1
-1,0.192307692,-2,-2,0,0,0,0,-1,-22,1,-2,0,1
-1,0.153846154,-2,-3,0,0,0,0.236842105,-1,-2,0.888888889,-2,1,1
-1,0.179487179,-2,-2,0,0,0,0.105263158,-1,-23,0.777777778,-2,0,1
-1,0.474358974,-1,-3,0,0,0,0,-1,-5,0,-1,1,0
-1,0.397435897,-1,-1,0,0,0,0.184210526,-1,-24,0.222222222,-1,0,1
-1,0.102564103,-2,-3,0,0,0.117647059,0.157894737,-2,-25,0.777777778,-2,1,0
-2,0.192307692,-2,-3,0,0,0,0.105263158,-2,-6,0.444444444,-3,1,1
-1,0.076923077,-3,-3,0,0,0,0.026315789,-2,-6,0.111111111,-1,1,1
-1,0.205128205,-2,-2,0.1,0.076923077,0.176470588,0.552631579,-1,-26,0.888888889,-2,0,1
-1,0.141025641,-2,-3,0,0,0,0,-2,-27,0.111111111,-1,1,0
-2,0.038461538,-3,-2,0,0,0,0.052631579,-1,-5,0.777777778,-2,0,0
-1,0.423076923,-1,-2,0,0,0,0.052631579,-2,-28,0,-1,0,0
-1,0.141025641,-2,-3,0,0,0,0.052631579,-2,-29,0.111111111,-1,1,1
-2,0.423076923,-1,-2,0,0,0,0.184210526,-1,-3,0.111111111,-1,0,0
-1,0.141025641,-2,-2,0,0,0,0,-1,-30,0.666666667,-3,0,1
-1,0.08974359,-2,-3,0,0,0,0.236842105,-2,-6,1,-2,1,1
-1,0.217948718,-2,-2,0.05,0,0.235294118,0.342105263,-1,-31,0.777777778,-2,0,1
-1,0.397435897,-1,-3,0,0,0,0,-2,-32,0,-1,1,0
-1,0.205128205,-2,-2,0,0,0,0.105263158,-2,-33,0.222222222,-1,0,1
-1,0.141025641,-2,-2,0,0,0,0,-1,-22,0.333333333,-1,0,0
-1,0.141025641,-2,-3,0,0,0,0.026315789,-1,-34,0.111111111,-1,1,1
-2,0.128205128,-2,-1,0,0,0,0,-1,-12,0.111111111,-1,0,0
-1,0.384615385,-1,-3,0,0,0,0.526315789,-1,-5,0.555555556,-3,1,1
-2,0.576923077,-1,-4,0,0,0,0.026315789,-1,-5,0,-1,0,0
-1,0.166666667,-2,-2,0,0,0.058823529,0.394736842,-1,-35,0.444444444,-3,0,0
-1,0.076923077,-3,-2,0,0,0,0.052631579,-1,-36,0.333333333,-1,0,1
-1,0.153846154,-2,-4,0,0,0,0,-2,-27,0.666666667,-3,0,0
-1,0.397435897,-1,-2,0,0,0,0.105263158,-2,-6,0,-1,0,0
-1,0.448717949,-1,-3,0,0,0,0.210526316,-1,-5,0.444444444,-3,1,0
-1,0.217948718,-2,-2,0,0,0,0.131578947,-1,-13,0.222222222,-1,0,0
-1,0.576923077,-1,-2,0,0,0,0.263157895,-2,-37,0.666666667,-3,0,1
-1,0.115384615,-2,-2,0.05,0.076923077,0.117647059,0.394736842,-1,-13,1,-2,0,1
-1,0.256410256,-2,-3,0,0,0,0.105263158,-2,-6,0.111111111,-1,1,1
-1,0.051282051,-3,-2,0,0,0.058823529,0.026315789,-1,-38,0.333333333,-1,0,1
-1,0.051282051,-3,-2,0,0.076923077,0.117647059,0.052631579,-1,-39,1,-2,0,1
-1,0.141025641,-2,-2,0,0,0,0.105263158,-1,-5,0.888888889,-2,0,1
-1,0.564102564,-1,-4,0,0,0,0,-2,-40,0,-1,0,0
-1,0.115384615,-2,-2,0,0.076923077,0,0.157894737,-1,-41,0.555555556,-3,0,1
-1,0.192307692,-2,-1,0,0,0,0,-2,-6,0,-1,0,0
-2,0.487179487,-1,-2,0,0,0,0,-2,-6,0,-1,0,0
-1,0.346153846,-1,-4,0,0,0,0.157894737,-1,-3,0,-1,0,1
-1,0.051282051,-3,-4,0,0,0,0.026315789,-1,-42,0.333333333,-1,0,0
-1,0.269230769,-2,-2,0,0,0,0.026315789,-2,-5,0.333333333,-1,0,0
-1,0.141025641,-2,-2,0,0,0,0.131578947,-1,-43,0.555555556,-3,0,1
-1,0.115384615,-2,-3,0,0,0.058823529,0.026315789,-1,-5,0.555555556,-3,1,1
