sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text,,
-1,0.138461538,-1,-2,0,0,0,0,-1,-320,0.272727273,-1,1,0
-2,0.153846154,-1,-1,0,0,0,0.078947368,-1,-148,0.818181818,-3,0,0
-1,0.046153846,-3,-1,0,0,0,0,-1,-335,0.454545455,-1,0,0
-1,0.076923077,-3,-1,0,0.25,0.058823529,0.131578947,-2,-362,1,-3,0,1
-1,0.584615385,-2,-2,0,0,0,0,-1,-219,0.181818182,-1,1,0
-1,0.215384615,-1,-2,0,0,0,0.052631579,-1,-362,0.363636364,-1,1,0
-1,0.430769231,-2,-2,0,0,0,0,-2,-35,0.181818182,-1,1,0
-1,0.2,-1,-2,0,0.125,0,0.078947368,-1,-146,0.545454545,-2,1,0
-2,0.2,-1,-2,0,0,0,0.026315789,-2,-362,0.545454545,-2,1,0
-2,0.153846154,-1,-2,0,0,0,0,-1,-14,0.363636364,-1,1,0
-2,0.061538462,-3,-1,0,0,0,0.052631579,-2,-242,0.545454545,-2,0,0
-1,0.138461538,-1,-2,0,0,0,0.210526316,-1,-147,0.545454545,-2,1,1
-1,0.4,-1,-1,0,0,0,0.078947368,-1,-167,0.545454545,-2,0,0
-1,0.307692308,-1,-1,0,0,0,0.026315789,-2,-35,0.636363636,-2,0,0
-1,0.292307692,-1,-1,0,0,0,0,-1,-47,0.545454545,-2,0,0
-1,0.230769231,-1,-2,0,0,0,0.184210526,-2,-358,0.636363636,-2,1,1
-1,0.353846154,-1,-2,0,0.125,0,0.236842105,-2,-212,0.909090909,-3,1,0
-2,0.384615385,-1,-1,0,0,0,0.078947368,-2,-355,0.272727273,-1,0,1
-1,0.415384615,-2,-2,0,0,0,0.131578947,-1,-153,0.181818182,-1,1,0
-1,0.446153846,-2,-1,0,0,0,0,-2,-92,0.181818182,-1,0,0
-1,0.369230769,-1,-1,0,0,0,0.026315789,-1,-362,0.181818182,-1,0,0
-1,0.246153846,-1,-2,0,0,0,0.105263158,-1,-21,0.272727273,-1,1,1
-1,0.046153846,-3,-1,0,0,0,0,-2,-35,0.272727273,-1,0,0
-1,0.276923077,-1,-2,0,0,0,0.026315789,-2,-35,0.545454545,-2,1,0
-1,0.107692308,-1,-1,0,0.125,0,0.157894737,-1,-77,0.818181818,-3,0,1
-1,0.307692308,-1,-2,0,0,0,0.078947368,-1,-194,0.454545455,-1,1,0
-2,0.138461538,-1,-1,0,0,0,0,-2,-35,0.545454545,-2,0,0
-2,0.169230769,-1,-1,0,0,0,0.078947368,-1,-362,0.363636364,-1,0,0
-1,0.123076923,-1,-2,0,0,0,0.052631579,-1,-362,0.454545455,-1,1,0
-1,0.107692308,-1,-1,0,0,0,0,-2,-92,0.272727273,-1,0,0
-1,0.353846154,-1,-2,0,0,0,0.052631579,-2,-362,0.636363636,-2,1,1
-1,0.215384615,-1,-1,0,0,0,0.157894737,-2,-35,0.545454545,-2,0,0
-1,0.446153846,-2,-1,0,0,0,0,-2,-35,0.181818182,-1,0,0
-2,0.138461538,-1,-1,0,0,0,0,-1,-265,0.363636364,-1,0,0
-1,0.584615385,-2,-2,0,0,0,0.026315789,-2,-119,0.181818182,-1,1,0
-1,0.507692308,-2,-1,0,0,0,0,-1,-50,0.181818182,-1,0,0
-1,0.076923077,-3,-2,0,0,0,0,-1,-146,0.454545455,-1,1,0
-1,0.538461538,-2,-2,0,0,0,0,-2,-35,0.181818182,-1,1,0
-1,0.646153846,-2,-1,0,0,0,0.052631579,-2,-92,0.272727273,-1,0,0
-1,0.046153846,-3,-2,0,0,0,0,-2,-35,0.545454545,-2,1,0
-1,0.092307692,-3,-1,0,0,0,0,-2,-35,0.181818182,-1,0,0
-1,0.184615385,-1,-1,0,0,0,0.052631579,-1,-348,0.454545455,-1,0,0
-1,0.107692308,-1,-2,0,0,0,0.052631579,-1,-362,0.545454545,-2,1,1
-2,0.476923077,-2,-1,0,0,0,0.210526316,-1,-362,0.272727273,-1,0,0
-2,0.292307692,-1,-2,0,0,0,0,-2,-35,0.363636364,-1,1,0
-1,0.615384615,-2,-1,0,0,0,0.026315789,-1,-266,0.181818182,-1,0,0
-2,0.061538462,-3,-2,0,0,0,0,-1,-236,0.818181818,-3,1,0
-2,0.061538462,-3,-1,0,0,0,0.026315789,-1,-215,0.363636364,-1,0,0
-1,0.184615385,-1,-1,0,0,0,0.105263158,-1,-350,0.454545455,-1,0,0
-1,0.123076923,-1,-2,0,0,0,0,-2,-362,0.363636364,-1,1,0
