age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,,
0.164383562,-5,0.063750832,-12,0.533333333,-5,-4,-2,-1,-1,0,0,0.5,-40,0,0
0.301369863,-5,0.20611714,-13,0.866666667,-5,-5,-2,-2,-1,0.086140861,0,0.520408163,-40,1,1
0.191780822,-5,0.338900585,-12,0.533333333,-5,-6,-2,-1,-1,0.029070291,0,1,-40,0,0
0.02739726,-7,0.146035099,-16,0.6,-5,-9,-4,-1,-2,0,0,0.244897959,-40,0,0
0.068493151,-5,0.137266541,-16,0.6,-5,-13,-4,-1,-2,0,0,0.295918367,-40,0,0
0.205479452,-5,0.070804526,-10,0.8,-3,-5,-1,-1,-1,0,0.433195592,0.551020408,-40,0,1
0.369863014,-5,0.242099401,-16,0.6,-3,-8,-1,-1,-1,0,0,0.397959184,-40,0,0
0.082191781,-5,0.100123606,-12,0.533333333,-1,-4,-2,-1,-1,0,0,0.397959184,-40,0,0
0.150684932,-5,0.105303514,-16,0.6,-5,-5,-2,-1,-2,0.105201052,0,0.397959184,-40,0,1
0.191780822,-5,0.202719333,-16,0.6,-6,-13,-5,-1,-2,0,0,0.397959184,-27,0,0
0.506849315,-5,0.123806387,-9,0.666666667,-3,-13,-1,-1,-1,0,0,0.5,-40,0,0
0.02739726,-5,0.181052281,-16,0.6,-5,-7,-4,-1,-1,0,0,0.153061224,-40,0,0
0.315068493,-5,0.143004713,-1,0.333333333,-3,-9,-6,-2,-2,0,0,0.316326531,-40,1,0
0.123287671,-5,0.265354315,-10,0.8,-3,-11,-1,-1,-1,0,0,0.581632653,-40,0,1
0.136986301,-5,0.061534073,-16,0.6,-1,-8,-5,-1,-2,0,0,0.397959184,-40,0,0
0.02739726,-1,0.02316934,-16,0.6,-5,-1,-2,-1,-2,0,0,0.316326531,-40,0,0
0.205479452,-5,0.153936377,-12,0.533333333,-3,-8,-1,-1,-1,0,0,0.397959184,-40,0,0
0.479452055,-5,0.090411703,-16,0.6,-3,-15,-1,-1,-1,0.150241502,0,0.602040816,-3,0,1
0.273972603,-7,0.228654188,-8,0.733333333,-3,-15,-1,-1,-1,0,0,0.5,-40,0,1
0.438356164,-5,0.223081729,-13,0.866666667,-3,-13,-1,-1,-1,0,0,0.397959184,-40,0,1
0.479452055,-5,0.143921571,-12,0.533333333,-1,-13,-2,-1,-2,0,0,0.479591837,-40,0,0
0.109589041,-6,0.058727129,-16,0.6,-1,-2,-4,-1,-2,0,0,0.5,-40,0,0
0.178082192,-5,0.189936295,-12,0.533333333,-3,-4,-1,-2,-1,0,0,0.397959184,-40,1,0
0.205479452,-5,0.290571984,-16,0.6,-3,-7,-1,-1,-1,0,0,0.37755102,-27,0,0
0.328767123,-7,0.097446381,-16,0.6,-3,-5,-1,-1,-1,0,0,0.5,-40,0,0
0.534246575,-5,0.107160321,-12,0.533333333,-3,-5,-6,-1,-2,0,0,0.397959184,-40,0,1
0.561643836,-5,0.077300634,-13,0.866666667,-1,-2,-2,-1,-2,0,0.454545455,0.448979592,-40,0,0
0.356164384,-5,0.106034284,-12,0.533333333,-3,-13,-3,-1,-2,0,0,0.43877551,-32,0,0
0.095890411,-7,0.246551935,-16,0.6,-5,-11,-2,-2,-1,0,0,0.397959184,-40,1,0
0.04109589,-5,0.125960663,-16,0.6,-5,-4,-5,-1,-1,0,0,0.397959184,-40,0,0
0.561643836,-1,0.017186672,-10,0.8,-7,-1,-2,-1,-2,0,0,0.397959184,-40,0,0
0.424657534,-5,0.112393203,-12,0.533333333,-1,-5,-2,-1,-2,0,0,0.397959184,-40,0,0
0.205479452,-5,0.12796281,-16,0.6,-5,-13,-2,-1,-1,0,0,0.5,-40,0,0
0.219178082,-5,0.099847869,-12,0.533333333,-1,-9,-5,-1,-2,0,0,0.397959184,-40,0,0
0.410958904,-3,0.186791133,-13,0.866666667,-5,-11,-2,-1,-1,0,0,0.397959184,-40,0,0
0.315068493,-3,0.174463129,-12,0.533333333,-3,-9,-1,-2,-1,0,0,0.397959184,-1,1,0
0.205479452,-5,0.108864319,-12,0.533333333,-6,-9,-2,-1,-2,0,0,0.295918367,-40,0,0
0.232876712,-3,0.063761698,-13,0.866666667,-1,-11,-2,-1,-2,0,0,0.5,-40,0,0
0.589041096,-1,0.07326578,-10,0.8,-3,-1,-1,-1,-1,0,0,0.397959184,-40,0,0
0.465753425,-5,0.21730077,-10,0.8,-1,-11,-2,-1,-1,0,0,0.448979592,-40,0,0
0.287671233,-5,0.093086212,-16,0.6,-1,-13,-2,-1,-1,0,0,0.602040816,-40,0,0
0.575342466,-5,0.148472583,-7,0.266666667,-6,-8,-5,-1,-2,0,0,0.397959184,-27,0,0
0.082191781,-5,0.014669048,-16,0.6,-6,-13,-5,-1,-2,0,0,0.397959184,-40,0,0
0.506849315,-5,0.1226396,-12,0.533333333,-1,-5,-5,-1,-2,0,0,0.448979592,-40,0,0
0.04109589,-5,0.067516062,-16,0.6,-5,-2,-4,-1,-2,0,0.394628099,0.275510204,-40,0,0
0.301369863,-5,0.174658046,-12,0.533333333,-3,-6,-1,-1,-1,0,0,0.448979592,-40,0,0
0.424657534,-5,0.126129094,-16,0.6,-5,-4,-5,-1,-2,0,0,0.37755102,-40,0,1
0.287671233,-5,0.066775784,-12,0.533333333,-1,-9,-2,-1,-1,0,0,0.316326531,-40,0,0
0.095890411,-5,0.151306013,-2,0.4,-3,-4,-1,-1,-1,0,0,0.5,-40,0,1
0.547945205,-5,0.135504136,-10,0.8,-3,-11,-1,-1,-1,0.03103031,0,0.5,-40,0,1
0.301369863,-3,0.112613928,-13,0.866666667,-1,-11,-5,-1,-2,0,0,0.397959184,-40,0,0
0.589041096,-6,0.114716589,-16,0.6,-3,-5,-1,-1,-1,0,0,0.397959184,-40,0,1
0.506849315,-5,0.091023621,-12,0.533333333,-3,-15,-1,-1,-1,0,0,0.5,-40,0,0
0,-5,0.131569118,-3,0.466666667,-5,-9,-4,-1,-2,0,0,0.071428571,-40,0,0
0.260273973,-5,0.067129623,-12,0.533333333,-6,-4,-4,-1,-1,0,0,0.397959184,-40,0,0
0.301369863,-5,0.085055215,-12,0.533333333,-3,-8,-1,-2,-1,0,0,0.397959184,-1,1,1
0.068493151,-5,0.127185178,-16,0.6,-5,-6,-4,-1,-1,0,0,0.244897959,-40,0,0
0.356164384,-5,0.015986607,-16,0.6,-6,-11,-5,-1,-2,0,0,0.397959184,-40,0,0
0.246575342,-5,0.194475761,-10,0.8,-5,-13,-2,-2,-1,0,0,0.5,-40,1,0
0.301369863,-5,0.148636938,-12,0.533333333,-3,-8,-1,-1,-1,0.028290283,0,0.397959184,-40,0,0
0.273972603,-5,0.09226851,-12,0.533333333,-5,-8,-5,-2,-2,0,0,0.397959184,-40,1,0
0.02739726,-1,0.078895967,-12,0.533333333,-5,-1,-4,-1,-2,0,0,0.275510204,-40,0,0
0.150684932,-5,0.09593798,-2,0.4,-1,-9,-5,-1,-2,0,0,0.397959184,-40,0,0
0.219178082,-5,0.14041442,-2,0.4,-5,-13,-2,-1,-2,0,0,0.397959184,-40,0,0
0.328767123,-3,0.024159547,-10,0.8,-3,-12,-1,-1,-1,0,0,0.397959184,-40,0,1
0.383561644,-5,0.118153108,-12,0.533333333,-1,-4,-2,-1,-1,0,0,0.397959184,-40,0,0
0.547945205,-5,0.081783051,-13,0.866666667,-6,-11,-2,-1,-1,0.105201052,0,0.316326531,-40,0,1
0.095890411,-3,0.093586748,-16,0.6,-6,-12,-2,-1,-1,0,0,0.602040816,-40,0,0
0.575342466,-5,0.058981812,-12,0.533333333,-7,-11,-2,-1,-2,0,0,0.173469388,-40,0,0
0.054794521,-5,0.239333886,-2,0.4,-5,-14,-4,-1,-2,0,0,0.346938776,-40,0,0
0.246575342,-5,0.17920702,-10,0.8,-5,-14,-2,-2,-2,0.046500465,0,0.397959184,-40,1,0
0.164383562,-5,0.119795982,-16,0.6,-3,-4,-1,-2,-1,0,0,0.397959184,-24,1,1
0.520547945,-5,0.081907336,-12,0.533333333,-3,-15,-1,-2,-1,0.034110341,0,0.397959184,-24,1,0
0.178082192,-3,0.072136347,-16,0.6,-1,-2,-5,-1,-2,0,0,0.397959184,-40,0,0
0.095890411,-5,0.125274718,-12,0.533333333,-1,-9,-5,-1,-2,0,0,0.397959184,-40,0,0
0.287671233,-5,0.154487171,-2,0.4,-1,-4,-2,-1,-1,0,0,0.397959184,-40,0,0
0.561643836,-5,0.088724005,-13,0.866666667,-5,-2,-2,-1,-2,0,0,0.234693878,-40,0,1
0.068493151,-2,0.311845126,-10,0.8,-5,-14,-4,-1,-1,0,0,0.071428571,-40,0,0
0.767123288,-6,0.054740495,-1,0.333333333,-7,-13,-5,-1,-2,0,0,0.397959184,-3,0,0
0.164383562,-5,0.111009766,-10,0.8,-5,-5,-2,-1,-2,0,0,0.448979592,-40,0,1
0.657534247,-6,0.070385488,-10,0.8,-3,-5,-1,-1,-1,0,0,0.397959184,-40,0,1
0.219178082,-5,0.247346545,-10,0.8,-3,-2,-6,-2,-2,0,0,0.295918367,-40,1,0
0.219178082,-5,0.067799948,-10,0.8,-3,-5,-1,-1,-1,0,0.436639118,0.448979592,-40,0,1
0.383561644,-5,0.074645821,-12,0.533333333,-7,-4,-5,-2,-2,0,0,0.397959184,-40,1,0
0.219178082,-5,0.208886731,-10,0.8,-6,-11,-2,-1,-1,0.046500465,0,0.346938776,-40,0,0
0.082191781,-5,0.148075957,-16,0.6,-5,-9,-2,-2,-1,0,0,0.397959184,-7,1,0
0.095890411,-5,0.137005066,-12,0.533333333,-5,-4,-4,-2,-1,0,0,0.397959184,-40,1,0
0.452054795,-5,0.107146738,-6,0.2,-3,-8,-1,-1,-1,0,0,0.397959184,-40,0,0
