status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,,
-2,0.205882353,-5,-5,0.085011555,-1,-5,0.666666667,-2,-3,1,-1,-1,-1,-1,0.333333333,-2,0,-2,-1,0,0
-2,0.073529412,-3,-10,0.062781996,-1,-3,0.333333333,-4,-1,0,-1,-1,-1,-2,0,-3,0,-2,-1,0,0
-4,0.294117647,-2,-10,0.072025971,-1,-4,1,-3,-1,1,-3,-1,-1,-2,0,-3,0,-2,-1,0,0
-4,0.088235294,-3,-1,0.058270056,-5,-3,1,-3,-3,1,-2,-1,-3,-2,0,-2,0,-1,-1,0,1
-3,0,-3,-1,0.068449433,-5,-2,0,-3,-1,0.333333333,-1,-1,-3,-2,0,-2,1,-1,-2,0,0
-4,0.294117647,-3,-2,0.178166612,-2,-4,0.666666667,-2,-1,1,-3,-2,-3,-2,0,-3,0,-1,-1,1,0
-4,0.117647059,-5,-5,0.039947177,-5,-5,1,-3,-1,1,-3,-1,-3,-2,0.333333333,-3,0,-1,-1,0,0
-4,0.029411765,-5,-1,0.358259051,-1,-4,0,-3,-1,0.666666667,-4,-1,-3,-2,0.333333333,-4,1,-2,-1,0,0
-2,0.117647059,-3,-5,0.07246616,-1,-3,0,-2,-1,0,-3,-2,-3,-2,0,-3,0,-2,-1,1,0
-1,0.294117647,-3,-4,0.411081765,-5,-2,0,-2,-1,0.333333333,-2,-1,-3,-2,0,-3,0,-2,-2,0,0
-4,0.294117647,-3,-2,0.133157258,-1,-5,1,-3,-1,1,-3,-1,-3,-2,0,-4,0,-2,-1,0,0
-4,0.470588235,-5,-1,0.180752724,-1,-4,1,-3,-1,1,-3,-1,-3,-2,0.333333333,-3,0,-2,-1,0,0
-1,0.073529412,-3,-5,0.061296357,-1,-4,0.666666667,-3,-1,1,-1,-1,-3,-2,0,-3,0,-1,-1,0,0
-4,0.205882353,-5,-5,0.320237702,-1,-5,0.666666667,-3,-1,1,-3,-1,-3,-2,0.333333333,-3,0,-2,-1,0,0
-4,0.25,-3,-5,0.160118851,-5,-5,1,-3,-1,0.666666667,-2,-1,-3,-2,0,-3,0,-2,-1,0,0
-4,0.088235294,-3,-5,0.092109607,-1,-3,0,-3,-1,1,-2,-1,-3,-2,0,-3,0,-2,-2,0,0
-4,0.470588235,-3,-5,0.184054143,-1,-5,1,-3,-1,0.333333333,-3,-1,-3,-2,0,-3,0,-1,-1,0,0
