sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text,,
-2,0.128205128,-1,-1,0,0,0,0,-1,-319,0.333333333,-1,0,1
-1,0.08974359,-1,-2,0,0,0,0.026315789,-1,-437,0.111111111,-1,1,0
-1,0.179487179,-1,-2,0,0,0,0,-2,-45,0.222222222,-1,1,0
-1,0.474358974,-2,-2,0,0,0,0.210526316,-1,-426,0,-1,1,1
-1,0.051282051,-3,-2,0,0.076923077,0.176470588,0.052631579,-1,-142,0.555555556,-2,1,0
-2,0.038461538,-3,-1,0,0,0,0,-1,-66,0.666666667,-2,0,0
-2,0.166666667,-1,-1,0,0,0,0.026315789,-2,-45,0,-1,0,1
-2,0.076923077,-3,-1,0,0,0,0,-1,-285,0.444444444,-2,0,0
-2,0.038461538,-3,-2,0,0,0,0,-2,-332,0.444444444,-2,1,0
-1,0.333333333,-1,-1,0,0,0,0,-2,-429,0.111111111,-1,0,0
-1,0.371794872,-2,-2,0,0,0,0,-1,-234,0,-1,1,0
-1,0.102564103,-1,-1,0,0,0,0.184210526,-1,-297,0.777777778,-3,0,1
-1,0.153846154,-1,-1,0,0,0,0,-1,-172,0,-1,0,0
-1,0.025641026,-3,-2,0,0,0.058823529,0,-1,-66,0.333333333,-1,1,0
-1,0.102564103,-1,-2,0,0,0,0,-2,-45,0,-1,1,0
-2,0.141025641,-1,-1,0,0,0,0,-2,-45,0.555555556,-2,0,0
-1,0.371794872,-2,-1,0,0,0,0.052631579,-1,-383,0.333333333,-1,0,0
-1,0.358974359,-2,-1,0,0,0,0.026315789,-1,-327,0,-1,0,0
-1,0.153846154,-1,-2,0,0,0,0.184210526,-1,-251,1,-3,1,1
-1,0.141025641,-1,-2,0,0,0,0,-2,-45,0.111111111,-1,1,0
-1,0.243589744,-1,-2,0,0,0,0.052631579,-1,-22,0,-1,1,1
-2,0.358974359,-2,-2,0,0,0,0.105263158,-1,-437,0.555555556,-2,1,0
-2,0.371794872,-2,-1,0,0,0,0,-2,-332,0.222222222,-1,0,1
-1,0.602564103,-2,-1,0,0,0,0,-2,-107,0,-1,0,0
-1,0.179487179,-1,-2,0,0,0,0,-1,-383,0,-1,1,1
-1,0.205128205,-1,-2,0,0,0,0.026315789,-1,-437,0.555555556,-2,1,0
-2,0.256410256,-1,-2,0,0,0,0,-2,-154,0.111111111,-1,1,0
-1,0.307692308,-1,-2,0,0,0,0,-1,-177,0,-1,1,0
-1,0.564102564,-2,-2,0,0,0,0.078947368,-2,-107,0.222222222,-1,1,1
-1,0.230769231,-1,-1,0,0,0,0.052631579,-1,-437,0.444444444,-2,0,0
-1,0.192307692,-1,-2,0,0,0,0,-1,-318,0,-1,1,1
-1,0.08974359,-1,-2,0,0,0,0.052631579,-2,-136,0.555555556,-2,1,0
-1,0.435897436,-2,-2,0,0,0,0,-1,-195,0,-1,1,0
-2,0.320512821,-1,-1,0,0,0,0,-2,-45,0.555555556,-2,0,0
-1,0.08974359,-1,-2,0,0,0,0.026315789,-1,-65,0.222222222,-1,1,1
-1,0.051282051,-3,-2,0,0,0,0.026315789,-1,-195,0.888888889,-3,1,0
-1,0.102564103,-1,-1,0,0,0,0.131578947,-2,-224,0.333333333,-1,0,0
-1,0.320512821,-1,-1,0,0,0,0.052631579,-1,-437,0,-1,0,0
-1,0.102564103,-1,-2,0,0,0,0.026315789,-1,-437,1,-3,1,1
-1,0.076923077,-3,-2,0,0,0.058823529,0.078947368,-1,-261,0.777777778,-3,1,1
-1,0.102564103,-1,-2,0,0,0,0.026315789,-1,-437,0.444444444,-2,1,1
-1,0.397435897,-2,-2,0,0,0,0,-1,-319,0,-1,1,0
-1,0.333333333,-1,-2,0,0,0,0.315789474,-1,-383,0.888888889,-3,1,0
-2,0.115384615,-1,-2,0,0,0,0.078947368,-1,-207,0.333333333,-1,1,1
-1,0.102564103,-1,-2,0,0,0,0.052631579,-1,-93,0.222222222,-1,1,0
-2,0.551282051,-2,-1,0,0,0,0.394736842,-1,-178,0.555555556,-2,0,0
-2,0.128205128,-1,-1,0,0,0,0,-2,-107,0.111111111,-1,0,0
-1,0.102564103,-1,-2,0,0,0,0.157894737,-1,-318,0.888888889,-3,1,1
-2,0.025641026,-3,-2,0,0,0,0,-2,-45,0.333333333,-1,1,1
-1,0.051282051,-3,-2,0,0,0,0.026315789,-1,-65,0.333333333,-1,1,0
-1,0.076923077,-3,-2,0,0,0.058823529,0.026315789,-1,-319,0.555555556,-2,1,1
-1,0.128205128,-1,-2,0,0,0,0.052631579,-1,-437,0.222222222,-1,1,0
-2,0.371794872,-2,-1,0,0,0,0,-1,-51,0,-1,0,0
-1,0.08974359,-1,-2,0,0,0,0.157894737,-1,-253,0.666666667,-2,1,1
-1,0.179487179,-1,-2,0.05,0,0,0.052631579,-2,-437,0.666666667,-2,1,1
-2,0.128205128,-1,-1,0,0,0,0,-1,-142,0.111111111,-1,0,0
-1,0.192307692,-1,-2,0,0,0,0.105263158,-2,-45,0.444444444,-2,1,1
-1,0.346153846,-2,-1,0,0,0,0.026315789,-2,-136,0,-1,0,0
-1,0.038461538,-3,-1,0,0,0,0,-2,-45,0.666666667,-2,0,0
-1,0.128205128,-1,-2,0.4,0,0.058823529,0.421052632,-1,-22,0.777777778,-3,1,1
-1,0.08974359,-1,-2,0,0,0,0.026315789,-1,-437,0.222222222,-1,1,1
-2,0.230769231,-1,-2,0,0,0,0.052631579,-2,-432,0.444444444,-2,1,0
-1,0.243589744,-1,-2,0,0,0,0.052631579,-1,-67,0.222222222,-1,1,0
-1,0.115384615,-1,-2,0,0,0,0,-1,-15,0.777777778,-3,1,1
-1,0.205128205,-1,-2,0,0,0,0.184210526,-1,-437,0.444444444,-2,1,1
-1,0.08974359,-1,-2,0,0,0,0,-1,-10,0.222222222,-1,1,0
-1,0.115384615,-1,-1,0,0.153846154,0.058823529,0.342105263,-1,-437,0.444444444,-2,0,1
-2,0.269230769,-1,-1,0,0,0,0.026315789,-1,-319,0.333333333,-1,0,0
-1,0.628205128,-2,-2,0,0,0,0,-2,-45,0,-1,1,0
-1,0.102564103,-1,-2,0,0,0,0.236842105,-2,-248,0.333333333,-1,1,1
-1,0.230769231,-1,-1,0,0,0,0.263157895,-2,-24,0.444444444,-2,0,1
-1,0.435897436,-2,-2,0,0,0,0.078947368,-1,-142,0.333333333,-1,1,0
-1,0.153846154,-1,-1,0,0,0,0.105263158,-1,-423,0.333333333,-1,0,0
-1,0.141025641,-1,-1,0,0,0.058823529,0.210526316,-2,-380,0.777777778,-3,0,0
-2,0.320512821,-1,-2,0,0,0,0,-2,-45,0,-1,1,0
-1,0.538461538,-2,-2,0,0,0,0.026315789,-2,-45,0,-1,1,1
-1,0.282051282,-1,-2,0,0,0,0.078947368,-1,-172,0.666666667,-2,1,0
-2,0.307692308,-1,-1,0,0,0,0.105263158,-1,-46,0.777777778,-3,0,1
-1,0.141025641,-1,-1,0,0,0,0.052631579,-2,-180,0.444444444,-2,0,0
-1,0.038461538,-3,-2,0.05,0,0,0.026315789,-1,-437,0.444444444,-2,1,0
-2,0.076923077,-3,-2,0,0,0,0.105263158,-1,-198,0.222222222,-1,1,1
-1,0.461538462,-2,-2,0,0,0,0,-2,-45,0,-1,1,0
-2,0.179487179,-1,-2,0,0,0,0,-2,-45,0,-1,1,1
-1,0.346153846,-2,-1,0,0,0,0.052631579,-2,-107,0,-1,0,0
-1,0.064102564,-3,-2,0,0,0.058823529,0.157894737,-1,-195,0.888888889,-3,1,1
-2,0.141025641,-1,-2,0,0,0,0.026315789,-1,-352,0.222222222,-1,1,0
-1,0.038461538,-3,-2,0,0,0,0,-2,-45,0.888888889,-3,1,0
-1,0.192307692,-1,-2,0,0,0.058823529,0.289473684,-1,-383,0.555555556,-2,1,1
-1,0.230769231,-1,-2,0,0,0,0,-1,-91,0,-1,1,0
-1,0.371794872,-2,-2,0.2,0,0,0.578947368,-1,-319,1,-3,1,1
-2,0.41025641,-2,-2,0,0,0,0.315789474,-2,-45,0.555555556,-2,1,1
-1,0.038461538,-3,-2,0,0.153846154,0.058823529,0.078947368,-1,-214,0.888888889,-3,1,1
-1,0.153846154,-1,-2,0,0,0,0.026315789,-1,-142,0.111111111,-1,1,1
-1,0.397435897,-2,-1,0,0,0,0.184210526,-1,-319,0.555555556,-2,0,0
-1,0.320512821,-1,-2,0,0,0,0.052631579,-2,-106,0,-1,1,1
-1,0.5,-2,-2,0,0,0,0.052631579,-1,-342,0.777777778,-3,1,0
-1,0.423076923,-2,-1,0,0,0,0.078947368,-2,-347,0,-1,0,1
-2,0.307692308,-1,-1,0,0,0,0,-2,-141,0,-1,0,0
-2,0.576923077,-2,-2,0,0,0,0.026315789,-1,-318,0,-1,1,0
-1,0.525641026,-2,-1,0,0,0,0,-1,-195,0,-1,0,0
-2,0.538461538,-2,-1,0,0,0,0.236842105,-1,-437,0.222222222,-1,0,1
-1,0.358974359,-2,-1,0,0,0,0.105263158,-1,-285,0.333333333,-1,0,0
-1,0.179487179,-1,-1,0,0,0,0,-1,-251,0.111111111,-1,0,0
-1,0.615384615,-2,-1,0,0,0,0,-2,-45,0,-1,0,1
-1,0.115384615,-1,-2,0,0,0,0.131578947,-2,-140,0.444444444,-2,1,0
